X,Y,SHB,player
1.3,0,B,23
0.65,1.65,S,23
1.6,0.5,H,23
1.6,1.8,H,23
3.6,3.6,S,23
3,6.6,B,23
0,-1.6,B,23
2.5,-1,B,23
3,3,H,23
1,2.7,H,23
-1.65,-1.5,B,23
-1.4,0.3,B,23
-1.4,2,B,23
2.4,3.7,S,23
1.65,5.2,S,23
-1.0,5.2,B,23
0.3,2.4,S,23
3,5.6,S,23
1.0,4.1,S,23
3,1.2,S,23
1.6,3.5,S,23
6.2,6.3,B,23
4.2,2.7,S,23
5.3,6.4,B,23
6.2,3.7,B,23
1.2,-1.4,S,23
5.8,-1.7,B,23
0.2,2,S,23
0.2,3,H,23
-0.4,-1,B,23
1.8,-0.7,H,23
3.5,0.8,S,23
3.5,-1.7,B,23
6.3,4.5,B,23
4.3,4.2,S,23
3.2,-0.7,S,23
3.7,-1,B,23
-1,-0.4,B,23
-0.4,3,H,23
3,4.2,S,23
1.7,-1.1,B,23
1,3.4,H,23
-0.4,0.3,B,23
0.5,0.4,S,23
0,1,B,23
-0.4,1.3,B,23
2.4,4.6,H,23
1,1,S,23
1.2,1.8,S,23
-0.7,0.5,B,23
1.4,6.5,B,23
0,0.7,B,23
-0.2,-0.2,H,23
-1,-1.2,B,23
2.3,0.5,S,23
0.8,0.2,S,23
7,6.6,B,23
2.5,2.3,S,23
3.4,2.5,H,23
1.3,2.4,S,23
-0.2,-0.2,B,23
1.8,2.4,S,23
0.8,-0.4,H,23
2.2,-1.7,B,23
3,5,S,23
-0.4,-1.6,B,23
2.4,1,S,23
-1,-1.7,B,23
1.6,1,S,23
1.7,2.8,S,23
1.5,0.2,H,23
2,1,S,23
5,5.8,S,23
2.1,2.9,H,23
5.3,5,S,23
