
X,Y,SHB,player,swing,notes,inning
2.8,-1.8,S,13,1,,1
6.2,5.2,B,13,,,1
5.2,6.2,B,13,,,1
-1.0,3.5,B,13,,,1
4.5,6.5,B,13,,,1
3.0,3.4,S,13,0,,1
3,2.8,H,13,,Caught in the outfield,1
3.8,3.2,S,13,0,,1
3.8,3.2,S,13,0,,1
5.0,-1.8,S,13,0,,1
3.4,2.8,S,13,0,,1
3.8,2.2,S,13,0,,1
3.4,2.6,S,13,0,,1
3.0,7.0,B,13,,,2
3.0,-1.8,S,13,1,,2
3.0,2.5,H,13,,foul,2
1.0,5,H,13,,safe on 1st,2
3.0,4.5,S,13,,foul bunt,2
3.2,2.5,S,13,0,,2
1.0,0.5,S,13,1,,2
1.5,-1.0,B,13,,,2
1.0,-1.5,B,13,,,2
2.5,1.8,S,13,0,,2
3.4,2.2,H,13,,foul,2
1.0,6.2,B,13,,,2
3.0,4.2,H,13,,flyball - safe,2
4.2,3.0,S,13,0,,2
-0.2,4.1,B,13,,,2
0.5,3.8,S,13,1,,2
1.8,5.0,H,13,,foul - straight up,2
1.0,7.0,B,13,,,2
3.3,3.2,H,13,,"straight into ground, catcher threw to 1st for out",2
5.5,2.2,H,13,,foul - straight left,2
-0.2,-0.4,B,13,,,2
-1.5,2.5,B,13,,,2
3.0,3.5,H,13,,Flyball - caught in outfield,2
3.3,2.2,S,13,0,,2
3.8,1.8,S,13,0,,2
2.5,3.2,H,13,,Flyball - caught out,2
3.2,3.2,S,13,0,,2
2.6,2.4,S,13,0,,2
1.8,3.2,H,13,,,2
2.8,-1.0,B,13,,,2
1.6,0.8,S,13,0,,2
-0.2,-0.4,B,13,,,2
0.8,4.8,S,13,1,,2
1.0,5.0,H,13,,,2
0.5,4.7,H,13,,,2
3.2,3.5,H,13,,foul,3
3.3,3.7,H,13,,,3
7.7,-0.5,B,13,,,3
3.5,0.8,S,13,0,,3
7.5,1.0,B,13,,,3
5.7,0.6,S,13,0,,3
3.7,1.8,H,13,,foul - left down,3
3.3,-0.6,B,13,,,3
3.2,2.0,H,13,,foul,3
-0.5,2.8,B,13,,walk,3
1.8,2.8,S,13,0,,3
0.6,3.2,H,13,,foul,3
2.4,-0.5,B,13,,,3
3.4,2.4,H,13,,,3
3.0,3.8,H,13,,,3
3.3,2.2,S,13,0,,4
3.8,1.8,S,13,0,,4
2.5,3.2,H,13,,,4
3.2,3.2,S,13,0,,4
2.6,2.4,S,13,0,,4
1.8,3.2,H,13,,,4
2.8,-1.0,B,13,,,4
1.6,0.8,S,13,0,,4
-0.2,-0.4,B,13,,,4
0.8,4.8,S,13,1,,4
1.0,5.0,H,13,,,4
0.5,4.7,H,13,,,4
4.6,-0.2,B,13,,,5
3.8,1.7,H,13,,,5
2.3,1.6,H,13,,foul,5
3.6,2.2,H,13,,,5
6.2,-0.5,B,13,,,5
7.9,-1.0,B,13,,,5
5.4,0.8,S,13,0,,5
5.3,1.2,H,13,,,5
-0.5,1.0,B,13,,,5
1.2,1.2,S,13,0,,5
3.6,0.4,S,13,0,,5
-0.5,4.2,B,13,,,5
5.4,0.3,H,13,,,5
1.0,-0.5,B,13,,,5
-0.5,-1.0,B,13,,,5
-0.8,-0.5,B,13,,,5
-1.2,-1.0,B,13,,walk,5
2.6,3.8,S,13,1,,5
3.4,2.7,H,13,,foul,5
