X,Y,SHB,player
-1.4,-1.6,B,17
-0.8,-2,B,17
-1.7,0,H,17
-0.9,-0.6,B,17
-0.6,0.8,B,17
0,2.5,B,17
0.6,2.5,S,17
0.6,2,S,17
0.8,1.6,H,17
-0.3,5,B,17
3,4.2,H,17
2,0,H,17
1.6,-0.7,B,17
2,-0.7,B,17
2.8,0.3,H,17
3.7,3,S,17
3.5,3.5,H,17
4,5.6,H,17
4.3,6.4,B,17
5,2.8,S,17
4.5,3,S,17
6.3,2,B,17
0,-1.5,B,17
0.4,-1.6,B,17
0.7,-1,B,17
2.3,-1.6,B,17
2.2,0.3,H,17
1,1.7,B,17
2.2,0.3,H,17
2.2,1.7,H,17
1,2.1,H,17
-.5,3,S,17
0.7,3,S,17
0.9,3.4,H,17
1.2,2.7,H,17
3,2.6,H,17
3.2,2.8,S,17
5.5,3.7,S,17
0.7,5,S,17
3,4.8,H,17
3,6.5,B,17
3.6,6.5,B,17
-0.2,-0.4,S,17
-0.2,0.6,H,17
0.1,1,S,17
0.3,2,S,17
0.8,2.1,H,17
1,-0.3,B,17
1.6,6.2,B,17
6.2,0.7,B,17
6.2,4.3,B,17
-1,-1.4,B,17
1.7,0.7,S,17
2.4,0.8,S,17
-0.4,2.4,H,17
1.2,2.6,S,17
2.3,2.4,S,17
3,3.6,H,17
3,5.7,S,17
-0.5,-0.2,S,17
0,0,B,17
0.6,-0.3,S,17
2.2,-1.3,B,17
0,0.3,H,17
-0.1,0.7,B,17
1.5,0.8,S,17
1.7,1.1,S,17
2.2,1,H,17
3.8,1.2,H,17
3,2.2,H,17
2.7,2.8,S,17
-0.2,2,B,17
-0.2,1,B,17
-0.1,3.4,H,17
0.1,3.6,H,17
2.4,6.1,B,17
3,6.2,B,17
4,6.2,B,17
5,6.2,B,17
