X,Y,SHB,
4.2,4,H,Out(right center)
1.2,3.3,H,Out(slightly left center)
3.2,3.1,S ,Strike(center)
3.9,4.3,S,Strike(slightly high slightly right)
6.2,-1.3,B,Ball(low right)
7.9,-1.3,B,Ball(very right low)
3.8,2.5,S,Strike(slightly low slightly right)
5.2,7.5,B,Ball(high left)
-1.4,-1,H,Foul(low left)
3,3,H,Out(center)
3.2,3.5,S,Strike(center)
-1.6,-0.4,B,Ball(low left)
3.2,2.1,S,Strike(slightly low center)
-2,0,B,Ball(left low)
4.1,3.3,S,Strike(center)
-0.5,7.2,B,Ball(high left)
2,0,H,Out(low slightly left)
